字段编号,需填写内容,标准位置,字典位置,取数方式,建议分类,六个月观察,业务确认,待核问题,本站填写规则,模板通用规则,本站备注位置
F018,本月设备故障损失电量,正文P54,../../数据字典/字段字典.json#/fields/F018,local_history_replay,当期指标或记录,六个月未变,待确认,数据来源、单位和统计范围是什么？与正文/表格重复位置如何核对？,填写规则.json#/fields/F018,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F018,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F018
F019,累计受累损失电量,正文P54,../../数据字典/字段字典.json#/fields/F019,local_history_replay,累计指标,观察到变化,待确认,首年累计、当年累计的范围如何统一？重复位置是否必须完全一致？,填写规则.json#/fields/F019,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F019,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F019
F020,累计设备故障损失电量,正文P54,../../数据字典/字段字典.json#/fields/F020,local_history_replay,累计指标,六个月未变,待确认,首年累计、当年累计的范围如何统一？重复位置是否必须完全一致？,填写规则.json#/fields/F020,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F020,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F020
F021,安全学习培训情况,正文P58—P61,../../数据字典/字段字典.json#/fields/F021,local_history_replay,当月事实文字,观察到变化,待确认,相同文字是否对应当月实际工作？无记录时应写无还是待补？,填写规则.json#/fields/F021,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F021,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F021
F022,低压电工应取证人数,表7R2C3,../../数据字典/字段字典.json#/fields/F022,local_history_replay,月末人员状态,观察到变化,待确认,人数按驻站、片区还是实际入场人员？取证进展空白是否合规？,填写规则.json#/fields/F022,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F022,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F022
F023,低压电工已取证人数,表7R2C4,../../数据字典/字段字典.json#/fields/F023,local_history_replay,月末人员状态,观察到变化,待确认,人数按驻站、片区还是实际入场人员？取证进展空白是否合规？,填写规则.json#/fields/F023,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F023,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F023
F024,低压电工取证进展,表7R2C5,../../数据字典/字段字典.json#/fields/F024,local_history_replay,月末人员状态,六个月均空白,待确认,人数按驻站、片区还是实际入场人员？取证进展空白是否合规？,填写规则.json#/fields/F024,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F024,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F024
F025,高压电工应取证人数,表7R3C3,../../数据字典/字段字典.json#/fields/F025,local_history_replay,月末人员状态,观察到变化,待确认,人数按驻站、片区还是实际入场人员？取证进展空白是否合规？,填写规则.json#/fields/F025,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F025,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F025
F026,高压电工已取证人数,表7R3C4,../../数据字典/字段字典.json#/fields/F026,local_history_replay,月末人员状态,观察到变化,待确认,人数按驻站、片区还是实际入场人员？取证进展空白是否合规？,填写规则.json#/fields/F026,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F026,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F026
F027,高压电工取证进展,表7R3C5,../../数据字典/字段字典.json#/fields/F027,local_history_replay,月末人员状态,六个月均空白,待确认,人数按驻站、片区还是实际入场人员？取证进展空白是否合规？,填写规则.json#/fields/F027,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F027,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F027
F028,调度受令应取证人数,表7R4C3,../../数据字典/字段字典.json#/fields/F028,local_history_replay,月末人员状态,观察到变化,待确认,人数按驻站、片区还是实际入场人员？取证进展空白是否合规？,填写规则.json#/fields/F028,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F028,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F028
F029,调度受令已取证人数,表7R4C4,../../数据字典/字段字典.json#/fields/F029,local_history_replay,月末人员状态,六个月未变,待确认,人数按驻站、片区还是实际入场人员？取证进展空白是否合规？,填写规则.json#/fields/F029,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F029,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F029
F030,调度受令取证进展,表7R4C5,../../数据字典/字段字典.json#/fields/F030,local_history_replay,月末人员状态,六个月均空白,待确认,人数按驻站、片区还是实际入场人员？取证进展空白是否合规？,填写规则.json#/fields/F030,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F030,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F030
F031,电气一种票收票数,表8R2C3,../../数据字典/字段字典.json#/fields/F031,local_history_replay,月度票据统计,六个月未变,待确认,按开票、执行、回收还是审核日期统计？零票时合格率写空白、/还是100%？,填写规则.json#/fields/F031,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F031,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F031
F032,电气一种票合格数,表8R2C4,../../数据字典/字段字典.json#/fields/F032,local_history_replay,月度票据统计,六个月未变,待确认,按开票、执行、回收还是审核日期统计？零票时合格率写空白、/还是100%？,填写规则.json#/fields/F032,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F032,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F032
F033,电气一种票不合格数,表8R2C5,../../数据字典/字段字典.json#/fields/F033,local_history_replay,月度票据统计,六个月未变,待确认,按开票、执行、回收还是审核日期统计？零票时合格率写空白、/还是100%？,填写规则.json#/fields/F033,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F033,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F033
F034,电气一种票合格率,表8R2C6,../../数据字典/字段字典.json#/fields/F034,local_history_replay,月度票据统计,六个月未变,待确认,按开票、执行、回收还是审核日期统计？零票时合格率写空白、/还是100%？,填写规则.json#/fields/F034,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F034,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F034
F035,电气一种票备注,表8R2C7,../../数据字典/字段字典.json#/fields/F035,local_history_replay,月度票据统计,六个月均空白,待确认,按开票、执行、回收还是审核日期统计？零票时合格率写空白、/还是100%？,填写规则.json#/fields/F035,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F035,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F035
F036,电气二种票收票数,表8R3C3,../../数据字典/字段字典.json#/fields/F036,local_history_replay,月度票据统计,六个月未变,待确认,按开票、执行、回收还是审核日期统计？零票时合格率写空白、/还是100%？,填写规则.json#/fields/F036,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F036,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F036
F037,电气二种票合格数,表8R3C4,../../数据字典/字段字典.json#/fields/F037,local_history_replay,月度票据统计,六个月未变,待确认,按开票、执行、回收还是审核日期统计？零票时合格率写空白、/还是100%？,填写规则.json#/fields/F037,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F037,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F037
F038,电气二种票不合格数,表8R3C5,../../数据字典/字段字典.json#/fields/F038,local_history_replay,月度票据统计,六个月未变,待确认,按开票、执行、回收还是审核日期统计？零票时合格率写空白、/还是100%？,填写规则.json#/fields/F038,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F038,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F038
F039,电气二种票合格率,表8R3C6,../../数据字典/字段字典.json#/fields/F039,local_history_replay,月度票据统计,六个月未变,待确认,按开票、执行、回收还是审核日期统计？零票时合格率写空白、/还是100%？,填写规则.json#/fields/F039,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F039,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F039
F040,电气二种票备注,表8R3C7,../../数据字典/字段字典.json#/fields/F040,local_history_replay,月度票据统计,六个月均空白,待确认,按开票、执行、回收还是审核日期统计？零票时合格率写空白、/还是100%？,填写规则.json#/fields/F040,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F040,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F040
F041,书面布置作业票收票数,表8R4C3,../../数据字典/字段字典.json#/fields/F041,local_history_replay,月度票据统计,观察到变化,待确认,按开票、执行、回收还是审核日期统计？零票时合格率写空白、/还是100%？,填写规则.json#/fields/F041,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F041,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F041
F042,书面布置作业票合格数,表8R4C4,../../数据字典/字段字典.json#/fields/F042,local_history_replay,月度票据统计,观察到变化,待确认,按开票、执行、回收还是审核日期统计？零票时合格率写空白、/还是100%？,填写规则.json#/fields/F042,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F042,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F042
F043,书面布置作业票不合格数,表8R4C5,../../数据字典/字段字典.json#/fields/F043,local_history_replay,月度票据统计,六个月未变,待确认,按开票、执行、回收还是审核日期统计？零票时合格率写空白、/还是100%？,填写规则.json#/fields/F043,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F043,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F043
F044,书面布置作业票合格率,表8R4C6,../../数据字典/字段字典.json#/fields/F044,local_history_replay,月度票据统计,观察到变化,待确认,按开票、执行、回收还是审核日期统计？零票时合格率写空白、/还是100%？,填写规则.json#/fields/F044,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F044,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F044
F045,书面布置作业票备注,表8R4C7,../../数据字典/字段字典.json#/fields/F045,local_history_replay,月度票据统计,六个月均空白,待确认,按开票、执行、回收还是审核日期统计？零票时合格率写空白、/还是100%？,填写规则.json#/fields/F045,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F045,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F045
F046,电气操作票收票数,表8R5C3,../../数据字典/字段字典.json#/fields/F046,local_history_replay,月度票据统计,观察到变化,待确认,按开票、执行、回收还是审核日期统计？零票时合格率写空白、/还是100%？,填写规则.json#/fields/F046,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F046,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F046
F047,电气操作票合格数,表8R5C4,../../数据字典/字段字典.json#/fields/F047,local_history_replay,月度票据统计,观察到变化,待确认,按开票、执行、回收还是审核日期统计？零票时合格率写空白、/还是100%？,填写规则.json#/fields/F047,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F047,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F047
F048,电气操作票不合格数,表8R5C5,../../数据字典/字段字典.json#/fields/F048,local_history_replay,月度票据统计,六个月未变,待确认,按开票、执行、回收还是审核日期统计？零票时合格率写空白、/还是100%？,填写规则.json#/fields/F048,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F048,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F048
F049,电气操作票合格率,表8R5C6,../../数据字典/字段字典.json#/fields/F049,local_history_replay,月度票据统计,观察到变化,待确认,按开票、执行、回收还是审核日期统计？零票时合格率写空白、/还是100%？,填写规则.json#/fields/F049,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F049,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F049
F050,电气操作票备注,表8R5C7,../../数据字典/字段字典.json#/fields/F050,local_history_replay,月度票据统计,六个月均空白,待确认,按开票、执行、回收还是审核日期统计？零票时合格率写空白、/还是100%？,填写规则.json#/fields/F050,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F050,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F050
F051,电站简称,运行概况P32,../../数据字典/字段字典.json#/fields/F051,station_profile,电站档案,六个月未变,待确认,本站全称、简称、正文名称/容量的正式口径是什么？是否允许多种名称？,填写规则.json#/fields/F051,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F051,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F051
F052,发电量台账·月份,表2数据行R2起／月份,../../数据字典/字段字典.json#/fields/F052,local_history_replay,当期指标或记录,记录集合变化，共同记录未变,待确认,数据来源、单位和统计范围是什么？与正文/表格重复位置如何核对？,填写规则.json#/fields/F052,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F052,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F052
F053,发电量台账·实际容量,表2数据行R2起／实际容量,../../数据字典/字段字典.json#/fields/F053,local_history_replay,当期指标或记录,记录集合变化，共同记录未变,待确认,数据来源、单位和统计范围是什么？与正文/表格重复位置如何核对？,填写规则.json#/fields/F053,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F053,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F053
F054,发电量台账·月实际发电量,表2数据行R2起／月实际发电量,../../数据字典/字段字典.json#/fields/F054,local_history_replay,当期指标或记录,记录集合变化，共同记录未变,待确认,数据来源、单位和统计范围是什么？与正文/表格重复位置如何核对？,填写规则.json#/fields/F054,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F054,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F054
F055,发电量台账·月核减电量,表2数据行R2起／月核减电量,../../数据字典/字段字典.json#/fields/F055,local_history_replay,当期指标或记录,记录集合变化，共同记录未变,待确认,数据来源、单位和统计范围是什么？与正文/表格重复位置如何核对？,填写规则.json#/fields/F055,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F055,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F055
F056,发电量台账·月辐照量,表2数据行R2起／月辐照量,../../数据字典/字段字典.json#/fields/F056,local_history_replay,当期指标或记录,记录集合变化，共同记录未变,待确认,数据来源、单位和统计范围是什么？与正文/表格重复位置如何核对？,填写规则.json#/fields/F056,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F056,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F056
F057,发电量台账·月等效利用小时数,表2数据行R2起／月等效利用小时数,../../数据字典/字段字典.json#/fields/F057,local_history_replay,当期指标或记录,记录集合变化，共同记录未变,待确认,数据来源、单位和统计范围是什么？与正文/表格重复位置如何核对？,填写规则.json#/fields/F057,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F057,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F057
F058,发电量台账·月站用电量,表2数据行R2起／月站用电量,../../数据字典/字段字典.json#/fields/F058,local_history_replay,当期指标或记录,观察到变化,待确认,数据来源、单位和统计范围是什么？与正文/表格重复位置如何核对？,填写规则.json#/fields/F058,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F058,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F058
F059,月度作业计划·序号,表3数据行R2起／序号,../../数据字典/字段字典.json#/fields/F059,local_history_replay,记录派生,观察到变化,待确认,序号能否由记录顺序生成？分组及重复编号规则是什么？,填写规则.json#/fields/F059,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F059,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F059
F060,月度作业计划·工作内容,表3数据行R2起／工作内容,../../数据字典/字段字典.json#/fields/F060,local_history_replay,当期工作记录,观察到变化,待确认,重复出现的类别、风险和措施是固定标准还是本月事实？无事项及空白如何表示？,填写规则.json#/fields/F060,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F060,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F060
F061,月度作业计划·主要风险点,表3数据行R2起／主要风险点,../../数据字典/字段字典.json#/fields/F061,local_history_replay,当期工作记录,观察到变化,待确认,重复出现的类别、风险和措施是固定标准还是本月事实？无事项及空白如何表示？,填写规则.json#/fields/F061,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F061,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F061
F062,月度作业计划·作业风险等级,表3数据行R2起／作业风险等级,../../数据字典/字段字典.json#/fields/F062,local_history_replay,当期工作记录,观察到变化,待确认,重复出现的类别、风险和措施是固定标准还是本月事实？无事项及空白如何表示？,填写规则.json#/fields/F062,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F062,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F062
F063,月度作业计划·现场管控措施,表3数据行R2起／现场管控措施,../../数据字典/字段字典.json#/fields/F063,local_history_replay,当期工作记录,观察到变化,待确认,重复出现的类别、风险和措施是固定标准还是本月事实？无事项及空白如何表示？,填写规则.json#/fields/F063,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F063,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F063
F064,本月工作总结·序号,表4数据行R2起／序号,../../数据字典/字段字典.json#/fields/F064,local_history_replay,记录派生,观察到变化,待确认,序号能否由记录顺序生成？分组及重复编号规则是什么？,填写规则.json#/fields/F064,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F064,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F064
F065,本月工作总结·一级类别,表4数据行R2起／一级类别,../../数据字典/字段字典.json#/fields/F065,local_history_replay,当期工作记录,观察到变化,待确认,重复出现的类别、风险和措施是固定标准还是本月事实？无事项及空白如何表示？,填写规则.json#/fields/F065,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F065,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F065
F066,本月工作总结·二级类别,表4数据行R2起／二级类别,../../数据字典/字段字典.json#/fields/F066,local_history_replay,当期工作记录,观察到变化,待确认,重复出现的类别、风险和措施是固定标准还是本月事实？无事项及空白如何表示？,填写规则.json#/fields/F066,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F066,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F066
F067,本月工作总结·工作内容,表4数据行R2起／工作内容,../../数据字典/字段字典.json#/fields/F067,local_history_replay,当期工作记录,观察到变化,待确认,重复出现的类别、风险和措施是固定标准还是本月事实？无事项及空白如何表示？,填写规则.json#/fields/F067,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F067,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F067
F068,下月工作计划·序号,表5数据行R2起／序号,../../数据字典/字段字典.json#/fields/F068,local_history_replay,记录派生,观察到变化,待确认,序号能否由记录顺序生成？分组及重复编号规则是什么？,填写规则.json#/fields/F068,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F068,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F068
F069,下月工作计划·工作内容,表5数据行R2起／工作内容,../../数据字典/字段字典.json#/fields/F069,local_history_replay,当期工作记录,观察到变化,待确认,重复出现的类别、风险和措施是固定标准还是本月事实？无事项及空白如何表示？,填写规则.json#/fields/F069,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F069,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F069
F070,需协助事项·序号,表5数据行R8起／序号,../../数据字典/字段字典.json#/fields/F070,local_history_replay,记录派生,六个月未变,待确认,序号能否由记录顺序生成？分组及重复编号规则是什么？,填写规则.json#/fields/F070,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F070,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F070
F071,需协助事项·需协助事项,表5数据行R8起／需协助事项,../../数据字典/字段字典.json#/fields/F071,local_history_replay,当期工作记录,六个月未变,待确认,重复出现的类别、风险和措施是固定标准还是本月事实？无事项及空白如何表示？,填写规则.json#/fields/F071,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F071,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F071
F072,发电损失记录·停电时间,表6数据行R2起／停电时间,../../数据字典/字段字典.json#/fields/F072,local_history_replay,当期指标或记录,观察到变化,待确认,数据来源、单位和统计范围是什么？与正文/表格重复位置如何核对？,填写规则.json#/fields/F072,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F072,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F072
F073,发电损失记录·停电容量,表6数据行R2起／停电容量,../../数据字典/字段字典.json#/fields/F073,local_history_replay,当期指标或记录,观察到变化,待确认,数据来源、单位和统计范围是什么？与正文/表格重复位置如何核对？,填写规则.json#/fields/F073,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F073,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F073
F074,发电损失记录·停电原因,表6数据行R2起／停电原因,../../数据字典/字段字典.json#/fields/F074,local_history_replay,当期指标或记录,观察到变化,待确认,数据来源、单位和统计范围是什么？与正文/表格重复位置如何核对？,填写规则.json#/fields/F074,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F074,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F074
