模板编号,字段编号,字段名称,设备上下文,字典位置,本站规则位置,来源状态,模板通用规则,本站备注位置
DJ-01,J021,工作量设备名称,,../../数据字典/字段字典.json#/fields/J021,填写规则.json#/fields/J021,本地历史位置已登记；外部取数未绑定,../../模板/DJ-01/通用取值规则.json#/fields/J021,字段取数配置.json#/profiles/DJ-01/field_notes/J021
DJ-01,J022,工作量设备型号,,../../数据字典/字段字典.json#/fields/J022,填写规则.json#/fields/J022,本地历史位置已登记；外部取数未绑定,../../模板/DJ-01/通用取值规则.json#/fields/J022,字段取数配置.json#/profiles/DJ-01/field_notes/J022
DJ-01,J023,工作量计量单位,,../../数据字典/字段字典.json#/fields/J023,填写规则.json#/fields/J023,本地历史位置已登记；外部取数未绑定,../../模板/DJ-01/通用取值规则.json#/fields/J023,字段取数配置.json#/profiles/DJ-01/field_notes/J023
DJ-01,J024,设备数量,,../../数据字典/字段字典.json#/fields/J024,填写规则.json#/fields/J024,本地历史位置已登记；外部取数未绑定,../../模板/DJ-01/通用取值规则.json#/fields/J024,字段取数配置.json#/profiles/DJ-01/field_notes/J024
DJ-01,J025,实际定检完成数量,,../../数据字典/字段字典.json#/fields/J025,填写规则.json#/fields/J025,本地历史位置已登记；外部取数未绑定,../../模板/DJ-01/通用取值规则.json#/fields/J025,字段取数配置.json#/profiles/DJ-01/field_notes/J025
DJ-01,J026,定检结果,,../../数据字典/字段字典.json#/fields/J026,填写规则.json#/fields/J026,本地历史位置已登记；外部取数未绑定,../../模板/DJ-01/通用取值规则.json#/fields/J026,字段取数配置.json#/profiles/DJ-01/field_notes/J026
DJ-01,J027,工作量备注,,../../数据字典/字段字典.json#/fields/J027,填写规则.json#/fields/J027,本地历史位置已登记；外部取数未绑定,../../模板/DJ-01/通用取值规则.json#/fields/J027,字段取数配置.json#/profiles/DJ-01/field_notes/J027
DJ-01,J028,缺陷序号,,../../数据字典/字段字典.json#/fields/J028,填写规则.json#/fields/J028,本地历史位置已登记；外部取数未绑定,../../模板/DJ-01/通用取值规则.json#/fields/J028,字段取数配置.json#/profiles/DJ-01/field_notes/J028
DJ-01,J029,缺陷设备名称,,../../数据字典/字段字典.json#/fields/J029,填写规则.json#/fields/J029,本地历史位置已登记；外部取数未绑定,../../模板/DJ-01/通用取值规则.json#/fields/J029,字段取数配置.json#/profiles/DJ-01/field_notes/J029
DJ-01,J030,缺陷隐患项目,,../../数据字典/字段字典.json#/fields/J030,填写规则.json#/fields/J030,本地历史位置已登记；外部取数未绑定,../../模板/DJ-01/通用取值规则.json#/fields/J030,字段取数配置.json#/profiles/DJ-01/field_notes/J030
DJ-01,J031,缺陷处理结果,,../../数据字典/字段字典.json#/fields/J031,填写规则.json#/fields/J031,本地历史位置已登记；外部取数未绑定,../../模板/DJ-01/通用取值规则.json#/fields/J031,字段取数配置.json#/profiles/DJ-01/field_notes/J031
DJ-01,J032,缺陷备注,,../../数据字典/字段字典.json#/fields/J032,填写规则.json#/fields/J032,本地历史位置已登记；外部取数未绑定,../../模板/DJ-01/通用取值规则.json#/fields/J032,字段取数配置.json#/profiles/DJ-01/field_notes/J032
DJ-01,J033,遗留问题整改计划,,../../数据字典/字段字典.json#/fields/J033,填写规则.json#/fields/J033,本地历史位置已登记；外部取数未绑定,../../模板/DJ-01/通用取值规则.json#/fields/J033,字段取数配置.json#/profiles/DJ-01/field_notes/J033
DJ-01,J034,定检结论,,../../数据字典/字段字典.json#/fields/J034,填写规则.json#/fields/J034,本地历史位置已登记；外部取数未绑定,../../模板/DJ-01/通用取值规则.json#/fields/J034,字段取数配置.json#/profiles/DJ-01/field_notes/J034
DJ-01,J035,设备结果序号,hv|transformer|inverter|secondary|other,../../数据字典/字段字典.json#/fields/J035,填写规则.json#/fields/J035,本地历史位置已登记；外部取数未绑定,../../模板/DJ-01/通用取值规则.json#/fields/J035,字段取数配置.json#/profiles/DJ-01/field_notes/J035
DJ-01,J036,设备名称或编号,hv|transformer|inverter|secondary|other,../../数据字典/字段字典.json#/fields/J036,填写规则.json#/fields/J036,本地历史位置已登记；外部取数未绑定,../../模板/DJ-01/通用取值规则.json#/fields/J036,字段取数配置.json#/profiles/DJ-01/field_notes/J036
DJ-01,J037,设备检查情况,hv|transformer|inverter|secondary|other,../../数据字典/字段字典.json#/fields/J037,填写规则.json#/fields/J037,本地历史位置已登记；外部取数未绑定,../../模板/DJ-01/通用取值规则.json#/fields/J037,字段取数配置.json#/profiles/DJ-01/field_notes/J037
DJ-01,J038,设备定检照片,hv|transformer|inverter|secondary|other,../../数据字典/字段字典.json#/fields/J038,填写规则.json#/fields/J038,本地历史位置已登记；外部取数未绑定,../../模板/DJ-01/通用取值规则.json#/fields/J038,字段取数配置.json#/profiles/DJ-01/field_notes/J038
DJ-01,J039,设备处理结果,hv|transformer|inverter|secondary|other,../../数据字典/字段字典.json#/fields/J039,填写规则.json#/fields/J039,本地历史位置已登记；外部取数未绑定,../../模板/DJ-01/通用取值规则.json#/fields/J039,字段取数配置.json#/profiles/DJ-01/field_notes/J039
DJ-02,J001,报告年份,,../../数据字典/字段字典.json#/fields/J001,填写规则.json#/fields/J001,本地历史位置已登记；外部取数未绑定,../../模板/DJ-02/通用取值规则.json#/fields/J001,字段取数配置.json#/profiles/DJ-02/field_notes/J001
DJ-02,J002,报告周期,,../../数据字典/字段字典.json#/fields/J002,填写规则.json#/fields/J002,本地历史位置已登记；外部取数未绑定,../../模板/DJ-02/通用取值规则.json#/fields/J002,字段取数配置.json#/profiles/DJ-02/field_notes/J002
DJ-02,J003,电站资料编码,,../../数据字典/字段字典.json#/fields/J003,填写规则.json#/fields/J003,本地历史位置已登记；外部取数未绑定,../../模板/DJ-02/通用取值规则.json#/fields/J003,字段取数配置.json#/profiles/DJ-02/field_notes/J003
DJ-02,J004,电站名称,,../../数据字典/字段字典.json#/fields/J004,填写规则.json#/fields/J004,本地历史位置已登记；外部取数未绑定,../../模板/DJ-02/通用取值规则.json#/fields/J004,字段取数配置.json#/profiles/DJ-02/field_notes/J004
DJ-02,J005,定检日期,,../../数据字典/字段字典.json#/fields/J005,填写规则.json#/fields/J005,本地历史位置已登记；外部取数未绑定,../../模板/DJ-02/通用取值规则.json#/fields/J005,字段取数配置.json#/profiles/DJ-02/field_notes/J005
DJ-02,J006,定检员签认位,,../../数据字典/字段字典.json#/fields/J006,填写规则.json#/fields/J006,本地历史位置已登记；外部取数未绑定,../../模板/DJ-02/通用取值规则.json#/fields/J006,字段取数配置.json#/profiles/DJ-02/field_notes/J006
DJ-02,J007,编制人签认位,,../../数据字典/字段字典.json#/fields/J007,填写规则.json#/fields/J007,本地历史位置已登记；外部取数未绑定,../../模板/DJ-02/通用取值规则.json#/fields/J007,字段取数配置.json#/profiles/DJ-02/field_notes/J007
DJ-02,J008,审核人签认位,,../../数据字典/字段字典.json#/fields/J008,填写规则.json#/fields/J008,本地历史位置已登记；外部取数未绑定,../../模板/DJ-02/通用取值规则.json#/fields/J008,字段取数配置.json#/profiles/DJ-02/field_notes/J008
DJ-02,J009,批准人签认位,,../../数据字典/字段字典.json#/fields/J009,填写规则.json#/fields/J009,本地历史位置已登记；外部取数未绑定,../../模板/DJ-02/通用取值规则.json#/fields/J009,字段取数配置.json#/profiles/DJ-02/field_notes/J009
DJ-02,J010,报告出具单位,,../../数据字典/字段字典.json#/fields/J010,填写规则.json#/fields/J010,本地历史位置已登记；外部取数未绑定,../../模板/DJ-02/通用取值规则.json#/fields/J010,字段取数配置.json#/profiles/DJ-02/field_notes/J010
DJ-02,J011,并网容量,,../../数据字典/字段字典.json#/fields/J011,填写规则.json#/fields/J011,本地历史位置已登记；外部取数未绑定,../../模板/DJ-02/通用取值规则.json#/fields/J011,字段取数配置.json#/profiles/DJ-02/field_notes/J011
DJ-02,J012,并网电压,,../../数据字典/字段字典.json#/fields/J012,填写规则.json#/fields/J012,本地历史位置已登记；外部取数未绑定,../../模板/DJ-02/通用取值规则.json#/fields/J012,字段取数配置.json#/profiles/DJ-02/field_notes/J012
DJ-02,J013,并网时间,,../../数据字典/字段字典.json#/fields/J013,填写规则.json#/fields/J013,本地历史位置已登记；外部取数未绑定,../../模板/DJ-02/通用取值规则.json#/fields/J013,字段取数配置.json#/profiles/DJ-02/field_notes/J013
DJ-02,J014,定检参与人员,,../../数据字典/字段字典.json#/fields/J014,填写规则.json#/fields/J014,本地历史位置已登记；外部取数未绑定,../../模板/DJ-02/通用取值规则.json#/fields/J014,字段取数配置.json#/profiles/DJ-02/field_notes/J014
DJ-02,J015,本次定检依据,,../../数据字典/字段字典.json#/fields/J015,填写规则.json#/fields/J015,本地历史位置已登记；外部取数未绑定,../../模板/DJ-02/通用取值规则.json#/fields/J015,字段取数配置.json#/profiles/DJ-02/field_notes/J015
DJ-02,J016,本次使用仪器,,../../数据字典/字段字典.json#/fields/J016,填写规则.json#/fields/J016,本地历史位置已登记；外部取数未绑定,../../模板/DJ-02/通用取值规则.json#/fields/J016,字段取数配置.json#/profiles/DJ-02/field_notes/J016
DJ-02,J017,安全工器具及其他,,../../数据字典/字段字典.json#/fields/J017,填写规则.json#/fields/J017,本地历史位置已登记；外部取数未绑定,../../模板/DJ-02/通用取值规则.json#/fields/J017,字段取数配置.json#/profiles/DJ-02/field_notes/J017
DJ-02,J018,安全措施,,../../数据字典/字段字典.json#/fields/J018,填写规则.json#/fields/J018,本地历史位置已登记；外部取数未绑定,../../模板/DJ-02/通用取值规则.json#/fields/J018,字段取数配置.json#/profiles/DJ-02/field_notes/J018
DJ-02,J019,注意事项,,../../数据字典/字段字典.json#/fields/J019,填写规则.json#/fields/J019,本地历史位置已登记；外部取数未绑定,../../模板/DJ-02/通用取值规则.json#/fields/J019,字段取数配置.json#/profiles/DJ-02/field_notes/J019
DJ-02,J020,工作量序号,,../../数据字典/字段字典.json#/fields/J020,填写规则.json#/fields/J020,本地历史位置已登记；外部取数未绑定,../../模板/DJ-02/通用取值规则.json#/fields/J020,字段取数配置.json#/profiles/DJ-02/field_notes/J020
DJ-02,J021,工作量设备名称,,../../数据字典/字段字典.json#/fields/J021,填写规则.json#/fields/J021,本地历史位置已登记；外部取数未绑定,../../模板/DJ-02/通用取值规则.json#/fields/J021,字段取数配置.json#/profiles/DJ-02/field_notes/J021
DJ-02,J022,工作量设备型号,,../../数据字典/字段字典.json#/fields/J022,填写规则.json#/fields/J022,本地历史位置已登记；外部取数未绑定,../../模板/DJ-02/通用取值规则.json#/fields/J022,字段取数配置.json#/profiles/DJ-02/field_notes/J022
DJ-02,J023,工作量计量单位,,../../数据字典/字段字典.json#/fields/J023,填写规则.json#/fields/J023,本地历史位置已登记；外部取数未绑定,../../模板/DJ-02/通用取值规则.json#/fields/J023,字段取数配置.json#/profiles/DJ-02/field_notes/J023
DJ-02,J024,设备数量,,../../数据字典/字段字典.json#/fields/J024,填写规则.json#/fields/J024,本地历史位置已登记；外部取数未绑定,../../模板/DJ-02/通用取值规则.json#/fields/J024,字段取数配置.json#/profiles/DJ-02/field_notes/J024
DJ-02,J025,实际定检完成数量,,../../数据字典/字段字典.json#/fields/J025,填写规则.json#/fields/J025,本地历史位置已登记；外部取数未绑定,../../模板/DJ-02/通用取值规则.json#/fields/J025,字段取数配置.json#/profiles/DJ-02/field_notes/J025
DJ-02,J026,定检结果,,../../数据字典/字段字典.json#/fields/J026,填写规则.json#/fields/J026,本地历史位置已登记；外部取数未绑定,../../模板/DJ-02/通用取值规则.json#/fields/J026,字段取数配置.json#/profiles/DJ-02/field_notes/J026
DJ-02,J027,工作量备注,,../../数据字典/字段字典.json#/fields/J027,填写规则.json#/fields/J027,本地历史位置已登记；外部取数未绑定,../../模板/DJ-02/通用取值规则.json#/fields/J027,字段取数配置.json#/profiles/DJ-02/field_notes/J027
DJ-02,J028,缺陷序号,,../../数据字典/字段字典.json#/fields/J028,填写规则.json#/fields/J028,本地历史位置已登记；外部取数未绑定,../../模板/DJ-02/通用取值规则.json#/fields/J028,字段取数配置.json#/profiles/DJ-02/field_notes/J028
DJ-02,J029,缺陷设备名称,,../../数据字典/字段字典.json#/fields/J029,填写规则.json#/fields/J029,本地历史位置已登记；外部取数未绑定,../../模板/DJ-02/通用取值规则.json#/fields/J029,字段取数配置.json#/profiles/DJ-02/field_notes/J029
DJ-02,J030,缺陷隐患项目,,../../数据字典/字段字典.json#/fields/J030,填写规则.json#/fields/J030,本地历史位置已登记；外部取数未绑定,../../模板/DJ-02/通用取值规则.json#/fields/J030,字段取数配置.json#/profiles/DJ-02/field_notes/J030
DJ-02,J031,缺陷处理结果,,../../数据字典/字段字典.json#/fields/J031,填写规则.json#/fields/J031,本地历史位置已登记；外部取数未绑定,../../模板/DJ-02/通用取值规则.json#/fields/J031,字段取数配置.json#/profiles/DJ-02/field_notes/J031
DJ-02,J032,缺陷备注,,../../数据字典/字段字典.json#/fields/J032,填写规则.json#/fields/J032,本地历史位置已登记；外部取数未绑定,../../模板/DJ-02/通用取值规则.json#/fields/J032,字段取数配置.json#/profiles/DJ-02/field_notes/J032
DJ-02,J033,遗留问题整改计划,,../../数据字典/字段字典.json#/fields/J033,填写规则.json#/fields/J033,本地历史位置已登记；外部取数未绑定,../../模板/DJ-02/通用取值规则.json#/fields/J033,字段取数配置.json#/profiles/DJ-02/field_notes/J033
DJ-02,J034,定检结论,,../../数据字典/字段字典.json#/fields/J034,填写规则.json#/fields/J034,本地历史位置已登记；外部取数未绑定,../../模板/DJ-02/通用取值规则.json#/fields/J034,字段取数配置.json#/profiles/DJ-02/field_notes/J034
DJ-02,J035,设备结果序号,hv|transformer|inverter|secondary|other,../../数据字典/字段字典.json#/fields/J035,填写规则.json#/fields/J035,本地历史位置已登记；外部取数未绑定,../../模板/DJ-02/通用取值规则.json#/fields/J035,字段取数配置.json#/profiles/DJ-02/field_notes/J035
DJ-02,J036,设备名称或编号,hv|transformer|inverter|secondary|other,../../数据字典/字段字典.json#/fields/J036,填写规则.json#/fields/J036,本地历史位置已登记；外部取数未绑定,../../模板/DJ-02/通用取值规则.json#/fields/J036,字段取数配置.json#/profiles/DJ-02/field_notes/J036
DJ-02,J037,设备检查情况,hv|transformer|inverter|secondary|other,../../数据字典/字段字典.json#/fields/J037,填写规则.json#/fields/J037,本地历史位置已登记；外部取数未绑定,../../模板/DJ-02/通用取值规则.json#/fields/J037,字段取数配置.json#/profiles/DJ-02/field_notes/J037
DJ-02,J038,设备定检照片,hv|transformer|inverter|secondary|other,../../数据字典/字段字典.json#/fields/J038,填写规则.json#/fields/J038,本地历史位置已登记；外部取数未绑定,../../模板/DJ-02/通用取值规则.json#/fields/J038,字段取数配置.json#/profiles/DJ-02/field_notes/J038
DJ-02,J039,设备处理结果,hv|transformer|inverter|secondary|other,../../数据字典/字段字典.json#/fields/J039,填写规则.json#/fields/J039,本地历史位置已登记；外部取数未绑定,../../模板/DJ-02/通用取值规则.json#/fields/J039,字段取数配置.json#/profiles/DJ-02/field_notes/J039
DJ-02,J040,票据类型,,../../数据字典/字段字典.json#/fields/J040,填写规则.json#/fields/J040,本地历史位置已登记；外部取数未绑定,../../模板/DJ-02/通用取值规则.json#/fields/J040,字段取数配置.json#/profiles/DJ-02/field_notes/J040
DJ-02,J041,票据编号,,../../数据字典/字段字典.json#/fields/J041,填写规则.json#/fields/J041,本地历史位置已登记；外部取数未绑定,../../模板/DJ-02/通用取值规则.json#/fields/J041,字段取数配置.json#/profiles/DJ-02/field_notes/J041
DJ-02,J042,票据附件,,../../数据字典/字段字典.json#/fields/J042,填写规则.json#/fields/J042,本地历史位置已登记；外部取数未绑定,../../模板/DJ-02/通用取值规则.json#/fields/J042,字段取数配置.json#/profiles/DJ-02/field_notes/J042
